id,name,pref,area,home,original,simple,format,princess,luxury
2,アヴァンセ　リアン　東京,東京都,お台場・豊洲・竹芝・晴海周辺の東京ベイエリア,6,4,3,13,10,5
3,Royal Garden Palace 八王子日本閣,東京都,立川・八王子・町田・23区以外,4,3,4,11,5,6
14,オリエンタルホテル 東京ベイ,千葉県,千葉・舞浜・浦安・幕張,6,5,5,11,3,6
15,南青山ル・アンジェ教会,東京都,青山・表参道・渋谷・原宿,2,4,7,12,4,7
17,アニヴェルセル ヒルズ横浜,神奈川県,横浜・新横浜・川崎,2,7,2,13,10,6
18,アニヴェルセル 大宮,埼玉県,大宮・さいたま・浦和・川口周辺,7,8,4,11,10,7
19,アニヴェルセル 東京ベイ,東京都,お台場・豊洲・竹芝・晴海周辺の東京ベイエリア,3,5,2,12,11,7
22,アニヴェルセル 豊洲,東京都,お台場・豊洲・竹芝・晴海周辺の東京ベイエリア,2,4,1,12,10,8
25,乃木神社・乃木會館,東京都,赤坂・六本木・麻布,3,5,3,16,3,7
26,ｗｅｓｔ５３ｒｄ日本閣（ウエスト　フィフティサード）,東京都,新宿・中野・杉並,4,3,2,9,5,5
27,アンフェリシオン,東京都,上野・浅草・墨田・江東・江戸川などスカイツリー（R）周辺エリア,3,1,4,11,6,6
30,ウエディングホール ラ・ボア・ラクテ,埼玉県,川越・所沢・東部・県北・その他,7,5,5,11,7,4
31,新宿十二社　熊野神社,東京都,新宿・中野・杉並,4,3,5,5,1,2
40,ST.MARGARET WEDDING,千葉県,柏・成田・房総・その他,5,5,4,11,8,8
43,オーベルジュ・ド・リル・トーキョー,東京都,赤坂・六本木・麻布,2,3,5,20,4,10
45,ベルヴィ　アズグレイス,埼玉県,川越・所沢・東部・県北・その他,4,5,7,10,7,4
46,ハイアット　リージェンシー　東京,東京都,新宿・中野・杉並,3,3,3,20,3,12
47,ラ・クラリエール,埼玉県,大宮・さいたま・浦和・川口周辺,10,8,3,8,5,5
48,ヒルトン東京お台場,東京都,お台場・豊洲・竹芝・晴海周辺の東京ベイエリア,6,3,4,16,5,6
50,ホテル　イースト２１東京　●オークラ　ホテルズ　＆　リゾーツ,東京都,上野・浅草・墨田・江東・江戸川などスカイツリー（R）周辺エリア,5,3,4,16,4,7
62,グランドニッコー東京 台場,東京都,お台場・豊洲・竹芝・晴海周辺の東京ベイエリア,4,3,2,17,4,7
63,ウェスティンホテル東京,東京都,白金・恵比寿・代官山・広尾,4,0,3,20,4,12
64,ホテルメトロポリタン,東京都,池袋・練馬・文京・板橋,6,2,4,11,5,5
71,ＴＨＥ　ＣＨＥＬＳＥＡ　ＣＯＵＲＴ,千葉県,千葉・舞浜・浦安・幕張,5,7,5,11,7,6
77,BELLE VIE THE GRAND　ベルヴィ ザ・グラン,埼玉県,川越・所沢・東部・県北・その他,4,4,4,11,9,7
78,ベルヴィ武蔵野,埼玉県,大宮・さいたま・浦和・川口周辺,8,5,4,11,8,5
89,ヒルトン小田原リゾート＆スパ ,神奈川県,箱根・小田原・海老名・厚木・相模原・その他,5,2,4,13,4,8
90,箱根の森高原教会・ホテルグリーンプラザ箱根,神奈川県,箱根・小田原・海老名・厚木・相模原・その他,4,4,4,9,4,3
94,ベイサイドパーク迎賓館／テイクアンドギヴ・ニーズ,千葉県,千葉・舞浜・浦安・幕張,2,5,1,8,2,6
96,アーヴェリール迎賓館（大宮）／テイクアンドギヴ・ニーズ,埼玉県,大宮・さいたま・浦和・川口周辺,4,5,5,10,7,5
98,ヒルサイドクラブ迎賓館,東京都,立川・八王子・町田・23区以外,4,5,4,10,6,6
106,青山フェアリーハウス・セントフェアリーチャペル,東京都,青山・表参道・渋谷・原宿,8,5,4,11,5,7
109,東京ヴァンテアンクルーズ,東京都,品川・目黒・浜松町・世田谷,3,1,3,6,2,4
110,アニヴェルセル　みなとみらい横浜,神奈川県,みなとみらい・桜木町・山手・山下町・関内,2,7,2,16,10,11
118,PENT　HOUSE　THE　TOKYO　presented by SKYHALL,東京都,品川・目黒・浜松町・世田谷,7,5,5,15,7,7
119,ホテル椿山荘東京,東京都,池袋・練馬・文京・板橋,6,5,3,23,7,12
123,メルヴェーユ,神奈川県,みなとみらい・桜木町・山手・山下町・関内,8,2,6,11,3,4
129,横浜ベイシェラトン ホテル＆タワーズ,神奈川県,横浜・新横浜・川崎,4,3,4,12,3,6
132,セレス高田馬場,東京都,新宿・中野・杉並,2,2,4,11,8,7
133,THE LANDMARK SQUARE,東京都,品川・目黒・浜松町・世田谷,6,5,4,16,6,8
136,アグネス ホテル アンド アパートメンツ 東京,東京都,池袋・練馬・文京・板橋,5,3,6,9,3,5
137,DAZZLE,東京都,銀座,5,4,5,9,4,5
139,リビエラ東京,東京都,池袋・練馬・文京・板橋,7,4,4,11,6,7
140,シーサイド　リビエラ,神奈川県,鎌倉・湘南・葉山,8,6,3,10,8,7
